week,value
2022-1,44315
2022-2,44586
2022-3,45126
2022-4,44901
2022-5,44696
2022-6,45194
2022-7,45564
2022-8,45892
2022-9,46463
2022-10,46680
2022-11,46694
2022-12,47222
2022-13,47524
2022-14,47230
2022-15,47308
2022-16,47004
2022-17,46537
2022-18,46469
2022-19,46320
2022-20,45940
2022-21,45331
2022-22,44592
2022-23,44203
2022-24,43745
2022-25,43558
2022-26,43604
2022-27,42648
2022-28,42178
2022-29,41607
2022-30,41029
2022-31,40951
2022-32,40467
2022-33,40297
2022-34,39332
2022-35,38995
2022-36,38626
2022-37,38084
2022-38,37616
2022-39,37327
2022-40,36716
2022-41,36448
2022-42,37249
2022-43,37375
2022-44,38318
2022-45,38872
2022-46,38843
2022-47,40238
2022-48,40710
2022-49,41789
2022-50,42737
2022-51,43380
2022-52,43671
2023-1,43746
2023-2,44436
2023-3,45195
2023-4,45744
2023-5,45848
2023-6,45942
2023-7,45806
2023-8,46110
2023-9,46236
2023-10,46693
2023-11,47252
2023-12,46852
2023-13,47497
2023-14,47433
2023-15,47535
2023-16,47878
2023-17,47965
2023-18,47772
2023-19,48022
2023-20,48428
2023-21,48452
2023-22,48629
2023-23,47784
2023-24,47189
2023-25,46041
2023-26,46028
2023-27,45745
2023-28,45864
2023-29,46513
2023-30,45452
2023-31,45112
2023-32,45114
2023-33,44263
2023-34,43959
2023-35,43918
2023-36,43450
2023-37,43134
2023-38,42709
2023-39,42078
2023-40,41420
2023-41,40039
2023-42,39022
2023-43,38029
2023-44,37957
2023-45,37841
2023-46,37852
2023-47,38140
2023-48,38224
2023-49,38406
2023-50,39450
2023-51,40455
2023-52,40904
